City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,mahajanga,-15.72,46.32,75.2,50,20,10.29,MG,1594100647
348,coro,11.4,-69.67,77.77,83,87,9.84,VE,1594100647
349,nioro,13.35,-15.75,78.87,84,76,5.1,GM,1594100647
350,bengkulu,-3.8,102.27,90.3,54,88,7.72,ID,1594100566
351,humaita,-7.51,-63.02,76.05,71,23,0.92,BR,1594100647
352,kaset sombun,16.28,101.95,91.2,56,80,5.55,TH,1594100647
353,port-cartier,50.03,-66.87,46.4,93,20,2.24,CA,1594100647
354,lata,40.16,-8.33,64.0,87,0,1.5,PT,1594100648
355,tiarei,-17.53,-149.33,77.0,83,75,6.93,PF,1594100648
356,south sioux city,42.47,-96.41,78.01,83,1,5.82,US,1594100648
357,malumfashi,11.79,7.62,73.92,71,93,6.82,NG,1594100648
358,santarem,-2.44,-54.71,75.2,94,20,3.58,BR,1594100648
359,saint-malo,48.5,-1.83,53.01,100,14,4.7,FR,1594100648
360,pampa,35.54,-100.96,75.2,73,1,9.17,US,1594100429
361,manokwari,-0.87,134.08,78.03,85,99,2.48,ID,1594100648
362,umm lajj,25.02,37.27,90.61,32,91,2.37,SA,1594100648
363,telde,27.99,-15.42,72.0,83,0,2.24,ES,1594100648
364,karratha,-20.74,116.85,80.89,18,0,15.82,AU,1594100648
365,fairbanks,64.84,-147.72,70.0,60,90,3.36,US,1594100402
366,marfino,55.7,37.38,78.01,69,0,6.71,RU,1594100648
367,ascension,30.22,-90.9,75.0,94,94,3.36,US,1594100648
368,chara,56.91,118.26,68.67,46,100,2.73,RU,1594100648
369,koumac,-20.57,164.28,71.46,64,100,10.4,NC,1594100648
370,pingliang,35.54,106.69,90.5,22,0,14.5,CN,1594100648
371,den helder,52.96,4.76,59.0,77,90,11.41,NL,1594100648
372,anantnag,33.73,75.15,81.12,39,0,2.08,IN,1594100648
373,salamiyah,35.01,37.05,85.68,40,0,14.65,SY,1594100649
374,basco,20.45,121.97,84.58,80,87,13.2,PH,1594100649
375,san patricio,19.22,-104.7,79.83,87,98,2.53,MX,1594100649
376,fuengirola,36.54,-4.62,73.99,68,0,4.7,ES,1594100649
377,hithadhoo,-0.6,73.08,84.33,75,100,16.28,MV,1594100649
378,impfondo,1.64,18.07,72.97,83,93,2.64,CG,1594100649
